Rebanho,RGD,Nome,Peso (Kg),Perímetro Torácico (cm),av1_g1,av2_g1,av3_g1,av1_g2,av2_g2,av3_g2
DJT,DJBS75,Medicina,,188,3.5,3.0,,3,3,
DJT,DJBS56,Bahia,,180,3.5,3.5,,4,3,
DJT,DJBS100,Marinheira,,179,3.0,2.5,,3,3,
DJT,DJBS97,Resistência,,171,3.5,2.5,,3,3,
DJT,DJBS84,Nadadeira,,182,3.5,3.0,,3,3,
DJT,DJBS33,Fada,,188,3.5,3.5,,4,3,
DJT,DJBS106,Ilha,,178,3.5,3.0,,4,3,
DJT,DJBS68,Neblina,,185,4.0,3.5,,4,4,
DJT,DJBS01,Regata,,182,2.5,3.5,,3,3,
DJT,DJBS43,Enseada,,196,4.0,3.5,,4,3,
DJT,DJBS58,Fantinha,,191,,3.5,,,3,
DJT,DJBS116,s/n,,163,3.5,2.5,,4,3,
DJT,DJBS114,s/n,,179,4.0,3.0,,4,3,
DJT,DJBS98,s/n,,180,4.5,3.5,,4,4,
DJT,DJBS120,s/n,,164,4.5,3.5,,4,3,
FSL,1315,Oliva,398,179,3.5,3,3.5,3,3,3
FSL,461,Morfina,411,182,3.5,3.5,2.5,3,3,3
FSL,L001,Garoa,450,182,4,3.5,3.5,4,3,4
FSL,L01X,s/n,324,172,3,3,2.5,3,3,3
FSL,s/n,Divisa,366,174,3,3,2.5,3,3,3
FSL,1357,s/n,373,177,3.5,3,2.5,3,3,3
FSL,1341,s/n,344,171,3,2.5,2.5,3,3,3
FSL,1359,Argola,374,167,3.5,3,3,3,3,3
FSL,L011,Guerrinha,394,172,3.5,3.5,3.5,4,4,3
FSL,496,Bonita,415,178,3.5,3.5,3.5,4,4,3
FSL,406,s/n,374,180,4,4,4.5,4,4,4
FSL,1313,Vovó,405,181,4.5,4.5,4.5,4,4,4
FSL,L010,s/n,462,191,4.5,4.5,4.5,4,4,4
FSL,495,s/n,501,191,4.5,4.5,4.5,4,4,5
FSL,478,Mi,472,188,4.5,4.5,4.5,4,4,4
FSL,1295,Fumaça,398,179,3.5,4,3.5,4,4,3
FSL,498,s/n,451,184,4.5,4.5,4.5,5,5,5
FBL,1706,Xitaia,413,181,4.0,3.0,3.5,4,3,4
FBL,1296,s/n,477,185,4.5,4.5,4.5,4,4,4
FBL,1649,Pelota,484,182,4.5,4.5,4.5,4,4,4
FBL,1548,Ubarana,467,179,4.5,4.5,3.5,4,4,4
FBL,1687,Xara,361,168,3.5,4.5,3.5,4,4,4
FBL,1696,Xeura,428,176,4.5,3.5,4.5,4,4,4
FBL,1762,Aipa,459,180,4.0,3.5,3.5,4,3,3
FBL,1626,Vereda,477,183,4.5,4.5,4.5,4,4,4
FBL,1599,Valida,405,183,3.5,3.5,2.5,4,3,3
FBL,1681,Zaira,481,185,3.5,3.5,3.5,3,4,4
FBL,1803,Baronesa,458,190,4.5,3.5,3.5,4,4,4
FBL,1612,Prata,440,173,4.5,3.5,3.5,4,4,4
FBL,1510,Ulma,393,176,4.5,3.5,3.5,4,4,4
FBL,1555,Uchoa,510,188,4.0,3.5,3.5,4,4,3
FBL,1698,Xima,375,168,4.0,3.5,3.5,4,4,4
FBL,1628,Pereiras,450,175,4.5,4.5,4.5,4,4,5
FBL,1640,Palha,420,176,3.5,3.5,3.5,4,4,4
FBL,4576,Olivia,460,182,4.5,3.5,4.5,4,4,4
FBL,1608,Paulinia,430,176,3.0,3.5,3.5,3,3,3
FBL,1724,Zambia,378,177,3.5,3.5,3.5,3,4,3
JFPA,1468,,533,185,3.5,3.5,3.5,3,3,4
JFPA,1912,,518,182,3.5,3.5,3.5,4,4,3
JFPA,905,,478,178,3.5,3.5,3.5,3,3,3
JFPA,1309,,482,182,3.5,3.5,3.5,4,4,4
JFPA,1652,,519,190,4,3.5,3.5,4,4,4
JFPA,904,,496,188,4,4,4.5,4,4,4
JFPA,1879,,479,186,3.5,4,4,3,4,4
JFPA,1146,,554,195,5,5,5,5,5,5
JFPA,1110,,493,185,4,3.5,4.5,4,4,4
JFPA,2121,,399,171,3,3,3,3,3,3
JFPA,2344,,437,179,3.5,3.5,3.5,4,3,4
JFPA,2144,,488,186,4.5,4.5,4.5,4,4,4
JFPA,1857,Olimpia,509,192,4.5,4.5,4.5,4,4,4
JFPA,631,Paloma,559,198,4.5,4.5,4.5,4,4,5
JFPA,1014,,447,178,2.5,2.5,2.5,3,3,3
JFPA,1076,Nomeada,522,199,4.5,4,4.5,4,4,5
JFPA,2278,Elissa,494,185,3.5,4.5,3.5,4,4,3
JFPA,996,Neblina,502,199,3.5,4.5,3.5,4,4,4
JFPA,1909,Onélia,439,183,3.5,3.5,3,3,4,3
JFPA,2237,Evelina,429,183,3,3.5,3.5,3,3,3
JFPA,1614,Jacang  II,521,197,3.5,3.5,3.5,3,4,4
JFPA,898,Ravena,561,197,3.5,3.5,3.5,3,4,3
JFPA,272,Metis,463,187,3,3,3,3,3,3
JFPA,1590,Uner,573,201,3.5,3,3.5,3,3,3
JFPA,1210,Maina,545,187,3.5,4,3.5,3,4,3
JFPA,2198,,506,191,4,3.5,3.5,4,4,4
JFPA,1507,Briana,540,195,4.5,4.5,4.5,4,4,4
JFPA,2296,Ellen,431,179,3.5,3,3,3,3,3
JFPA,1257,Manila,562,194,4,3.5,4.5,4,4,4
JFPA,1478,Mirtan,491,187,3.5,3.5,3.5,4,3,3
JFPA,2291,Emile,478,186,3.5,3.5,3.5,3,3,3
JFPA,1938,Onda II,533,191,3.5,3.5,3.5,4,4,4
JFPA,1637,Unaquita,586,204,4,4.5,4.5,4,4,4
JFPA,1259,,483,181,3,3,2.5,3,3,3
JFPA,2289,,429,179,3,3,3,3,3,3
JFPA,2292,Eira,453,176,3.5,3,3,3,3,3
JFPA,1526,Ulmer,553,189,4,4.5,4.5,4,4,4
JFPA,1864,Opera,517,196,3.5,3.5,3.5,3,4,4
JFPA,1011,Nadira,591,199,4,4.5,4.5,4,4,4
JFPA,2038,Palmeira,489,189,3.5,3.5,3.5,4,4,3
JFPA,2173,,409,176,3.5,3,3.5,3,3,3
JFPA,2293,Esperanca,381,171,3.5,3,3,3,3,3
JFPA,2227,Elis,481,189,3,3,3,3,3,3
JFPA,2225,Helena,425,178,3,3.5,3,3,3,3
JFPA,1593,Ultra,489,190,3.5,3.5,3.5,3,4,3
JFPA,1481,Bacarena,603,193,4.5,4.5,5,4,4,5
JFPA,923,Rumina,521,185,2.5,2.5,2.5,3,3,3
JFPA,1587,Ruman,551,194,3.5,3.5,4.5,4,3,4
JFPA,1826,Olinda,446,184,3,2.5,2.5,3,3,3
JFPA,2012,Princesa,439,182,4,4,4,4,4,4
JFPA,2390,Raica,402,177,3.5,3.5,3,3,3,3
JFPA,1737,Colina,534,198,4.5,4.5,4.5,4,4,4
JFPA,2294,,366,175,3,3.5,3,3,3,3
JFPA,2238,Esfinge,533,193,4.5,4.5,4.5,4,4,4
JFPA,2187,Pantera,427,184,3.5,4,4.5,4,4,4
JFPA,2277,Edda,405,174,3.5,3.5,3.5,3,3,4
JFPA,1872,Obra,477,175,,3.5,,,4,
JFPA,1877,Otilia,513,188,3.5,4.5,3.5,3,4,3
JFPA,1955,Orissa,504,187,3.5,4.5,3.5,4,4,4
JFPA,1707,,546,191,3.5,4.5,4.5,4,4,4
JFPA,2202,Prisca,503,187,4,4,3.5,4,4,3
JFPA,1715,Caseira,594,197,4,4,3.5,4,4,4
JFPA,2093,Paixao,555,190,3.5,3.5,3.5,3,4,3